2020-08-13 21:02:40.446 [main] INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335] [,] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-08-13 21:02:41.113 [main] INFO  [org.springframework.cloud.config.client.ConfigServicePropertySourceLocator:241] [,] - Fetching config from server at : http://localhost:8000
2020-08-13 21:02:41.804 [main] INFO  [org.springframework.cloud.config.client.ConfigServicePropertySourceLocator:159] [,] - Located environment: name=course, profiles=[dev], label=null, version=null, state=null
2020-08-13 21:02:41.804 [main] INFO  [org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration:102] [,] - Located property source: OriginTrackedCompositePropertySource {name='configService', propertySources=[OriginTrackedMapPropertySource {name='classpath:/configs/course-dev.properties'}]}
2020-08-13 21:02:41.926 [main] INFO  [com.swust.homepage.HomepageCourseApplication:651] [,] - No active profile set, falling back to default profiles: default
2020-08-13 21:02:43.050 [main] INFO  [org.springframework.cloud.context.scope.GenericScope:295] [,] - BeanFactory id=a98863c4-5ffc-39d6-97c6-c41a778b4445
2020-08-13 21:02:43.316 [main] INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335] [,] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-08-13 21:02:43.614 [main] INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer:108] [,] - Tomcat initialized with port(s): 8001 (http)
2020-08-13 21:02:43.622 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol:173] [,] - Initializing ProtocolHandler ["http-nio-8001"]
2020-08-13 21:02:43.622 [main] INFO  [org.apache.catalina.core.StandardService:173] [,] - Starting service [Tomcat]
2020-08-13 21:02:43.622 [main] INFO  [org.apache.catalina.core.StandardEngine:173] [,] - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-08-13 21:02:43.840 [main] INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/homepage-course]:173] [,] - Initializing Spring embedded WebApplicationContext
2020-08-13 21:02:43.840 [main] INFO  [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:285] [,] - Root WebApplicationContext: initialization completed in 1899 ms
2020-08-13 21:02:44.104 [main] WARN  [org.springframework.cloud.sleuth.zipkin2.ZipkinAutoConfiguration:114] [,] - Check result of the [AsyncReporter{org.springframework.cloud.sleuth.zipkin2.sender.RestTemplateSender@2c748a15}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.HttpClientErrorException$BadRequest: 400 Bad Request: [Empty JSON_V2 message]}]
2020-08-13 21:02:44.703 [main] WARN  [com.netflix.config.sources.URLConfigurationSource:121] [,] - No URLs will be polled as dynamic configuration sources.
2020-08-13 21:02:44.703 [main] INFO  [com.netflix.config.sources.URLConfigurationSource:122] [,] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-08-13 21:02:44.707 [main] WARN  [com.netflix.config.sources.URLConfigurationSource:121] [,] - No URLs will be polled as dynamic configuration sources.
