2020-08-13 21:01:39.117 [main] INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335] [,] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-08-13 21:01:39.777 [main] INFO  [com.swust.homepage.EurekaApplication:655] [,] - The following profiles are active: native
2020-08-13 21:01:40.709 [main] INFO  [org.springframework.cloud.context.scope.GenericScope:295] [,] - BeanFactory id=6ea3ae61-3955-3212-b4a1-dd8eb39c31ee
2020-08-13 21:01:40.777 [main] INFO  [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335] [,] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-08-13 21:01:41.062 [main] INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer:108] [,] - Tomcat initialized with port(s): 8000 (http)
2020-08-13 21:01:41.080 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol:173] [,] - Initializing ProtocolHandler ["http-nio-8000"]
2020-08-13 21:01:41.081 [main] INFO  [org.apache.catalina.core.StandardService:173] [,] - Starting service [Tomcat]
2020-08-13 21:01:41.081 [main] INFO  [org.apache.catalina.core.StandardEngine:173] [,] - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-08-13 21:01:41.281 [main] INFO  [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] [,] - Initializing Spring embedded WebApplicationContext
2020-08-13 21:01:41.282 [main] INFO  [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:285] [,] - Root WebApplicationContext: initialization completed in 1492 ms
2020-08-13 21:01:41.348 [main] WARN  [com.netflix.config.sources.URLConfigurationSource:121] [,] - No URLs will be polled as dynamic configuration sources.
2020-08-13 21:01:41.348 [main] INFO  [com.netflix.config.sources.URLConfigurationSource:122] [,] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-08-13 21:01:41.360 [main] INFO  [com.netflix.config.DynamicPropertyFactory:281] [,] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@4f2d995e
2020-08-13 21:01:41.735 [main] WARN  [org.springframework.boot.actuate.endpoint.EndpointId:155] [,] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-08-13 21:01:41.853 [main] INFO  [com.sun.jersey.server.impl.application.WebApplicationImpl:815] [,] - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
2020-08-13 21:01:41.974 [main] INFO  [com.netflix.discovery.provider.DiscoveryJerseyProvider:70] [,] - Using JSON encoding codec LegacyJacksonJson
2020-08-13 21:01:41.975 [main] INFO  [com.netflix.discovery.provider.DiscoveryJerseyProvider:71] [,] - Using JSON decoding codec LegacyJacksonJson
2020-08-13 21:01:42.147 [main] INFO  [com.netflix.discovery.provider.DiscoveryJerseyProvider:80] [,] - Using XML encoding codec XStreamXml
2020-08-13 21:01:42.147 [main] INFO  [com.netflix.discovery.provider.DiscoveryJerseyProvider:81] [,] - Using XML decoding codec XStreamXml
2020-08-13 21:01:42.660 [main] WARN  [com.netflix.config.sources.URLConfigurationSource:121] [,] - No URLs will be polled as dynamic configuration sources.
2020-08-13 21:01:42.660 [main] INFO  [com.netflix.config.sources.URLConfigurationSource:122] [,] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-08-13 21:01:42.840 [main] INFO  [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:181] [,] - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-13 21:01:45.314 [main] WARN  [org.springframework.cloud.loadbalancer.config.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger:106] [,] - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2020-08-13 21:01:45.417 [main] WARN  [org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger:81] [,] - Spring Cloud LoadBalancer is currently working with default default cache. You can switch to using Caffeine cache, by adding it to the classpath.
2020-08-13 21:01:45.442 [main] INFO  [org.springframework.cloud.netflix.eureka.InstanceInfoFactory:72] [,] - Setting initial instance status as: STARTING
2020-08-13 21:01:45.480 [main] INFO  [com.netflix.discovery.DiscoveryClient:365] [,] - Initializing Eureka in region us-east-1
2020-08-13 21:01:45.481 [main] INFO  [com.netflix.discovery.DiscoveryClient:368] [,] - Client configured to neither register nor query for data.
2020-08-13 21:01:45.491 [main] INFO  [com.netflix.discovery.DiscoveryClient:381] [,] - Discovery Client initialized at timestamp 1597323705489 with initial instances count: 0
2020-08-13 21:01:45.553 [main] INFO  [com.netflix.eureka.DefaultEurekaServerContext:63] [,] - Initializing ...
2020-08-13 21:01:45.555 [main] WARN  [com.netflix.eureka.cluster.PeerEurekaNodes:155] [,] - The replica size seems to be empty. Check the route 53 DNS Registry
2020-08-13 21:01:45.574 [main] INFO  [com.netflix.eureka.registry.AbstractInstanceRegistry:151] [,] - Finished initializing remote region registries. All known remote regions: []
2020-08-13 21:01:45.575 [main] INFO  [com.netflix.eureka.DefaultEurekaServerContext:70] [,] - Initialized
2020-08-13 21:01:45.593 [main] INFO  [org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver:58] [,] - Exposing 2 endpoint(s) beneath base path '/actuator'
2020-08-13 21:01:45.661 [main] INFO  [org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry:41] [,] - Registering application HOMEPAGE-EUREKA with eureka with status UP
2020-08-13 21:01:45.663 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol:173] [,] - Starting ProtocolHandler ["http-nio-8000"]
2020-08-13 21:01:45.663 [Thread-28] INFO  [org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap:110] [,] - Setting the eureka configuration..
2020-08-13 21:01:45.663 [Thread-28] INFO  [org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap:115] [,] - Eureka data center value eureka.datacenter is not set, defaulting to default
2020-08-13 21:01:45.663 [Thread-28] INFO  [org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap:129] [,] - Eureka environment value eureka.environment is not set, defaulting to test
2020-08-13 21:01:45.680 [Thread-28] INFO  [org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap:188] [,] - isAws returned false
2020-08-13 21:01:45.680 [Thread-28] INFO  [org.springframework.cloud.netflix.eureka.server.EurekaServerBootstrap:153] [,] - Initialized server context
