2020-09-14 21:52:50.815 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335] [,] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
>2020-09-14 21:52:51.422 [main] INFO  [com.swust.homepage.EurekaApplication:655] [,] - The following profiles are active: native
>2020-09-14 21:52:52.569 [main] INFO  [o.springframework.cloud.context.scope.GenericScope:295] [,] - BeanFactory id=a3bc3490-0bda-3e00-88aa-35250acc9a39
>2020-09-14 21:52:52.691 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335] [,] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
>2020-09-14 21:52:52.987 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer:108] [,] - Tomcat initialized with port(s): 8000 (http)
>2020-09-14 21:52:52.998 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol:173] [,] - Initializing ProtocolHandler ["http-nio-8000"]
>2020-09-14 21:52:52.999 [main] INFO  [org.apache.catalina.core.StandardService:173] [,] - Starting service [Tomcat]
>2020-09-14 21:52:52.999 [main] INFO  [org.apache.catalina.core.StandardEngine:173] [,] - Starting Servlet engine: [Apache Tomcat/9.0.37]
>2020-09-14 21:52:53.239 [main] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]:173] [,] - Initializing Spring embedded WebApplicationContext
>2020-09-14 21:52:53.240 [main] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext:285] [,] - Root WebApplicationContext: initialization completed in 1800 ms
>2020-09-14 21:52:53.349 [main] WARN  [com.netflix.config.sources.URLConfigurationSource:121] [,] - No URLs will be polled as dynamic configuration sources.
>2020-09-14 21:52:53.350 [main] INFO  [com.netflix.config.sources.URLConfigurationSource:122] [,] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
>2020-09-14 21:52:53.364 [main] INFO  [com.netflix.config.DynamicPropertyFactory:281] [,] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@122d6c22
