2020-09-14 21:54:18.941 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335] [,] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
>2020-09-14 21:54:19.636 [main] INFO  [o.s.c.c.client.ConfigServicePropertySourceLocator:241] [,] - Fetching config from server at : http://localhost:8000
>2020-09-14 21:54:20.190 [main] INFO  [o.s.c.c.client.ConfigServicePropertySourceLocator:159] [,] - Located environment: name=user, profiles=[dev], label=null, version=null, state=null
>2020-09-14 21:54:20.191 [main] INFO  [o.s.c.b.c.PropertySourceBootstrapConfiguration:102] [,] - Located property source: OriginTrackedCompositePropertySource {name='configService', propertySources=[OriginTrackedMapPropertySource {name='classpath:/configs/user-dev.properties'}]}
>2020-09-14 21:54:20.231 [main] INFO  [com.swust.homepage.HomepageUserApplication:651] [,] - No active profile set, falling back to default profiles: default
>2020-09-14 21:54:21.187 [main] INFO  [o.springframework.cloud.context.scope.GenericScope:295] [,] - BeanFactory id=98a5e5f8-3d22-3526-b027-c9c2a52a1492
>2020-09-14 21:54:21.423 [main] INFO  [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:335] [,] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
>2020-09-14 21:54:21.813 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer:108] [,] - Tomcat initialized with port(s): 8002 (http)
>2020-09-14 21:54:21.821 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol:173] [,] - Initializing ProtocolHandler ["http-nio-8002"]
>2020-09-14 21:54:21.822 [main] INFO  [org.apache.catalina.core.StandardService:173] [,] - Starting service [Tomcat]
>2020-09-14 21:54:21.822 [main] INFO  [org.apache.catalina.core.StandardEngine:173] [,] - Starting Servlet engine: [Apache Tomcat/9.0.37]
>2020-09-14 21:54:22.058 [main] INFO  [o.a.c.c.C.[Tomcat].[localhost].[/homepage-user]:173] [,] - Initializing Spring embedded WebApplicationContext
>2020-09-14 21:54:22.059 [main] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext:285] [,] - Root WebApplicationContext: initialization completed in 1810 ms
>2020-09-14 21:54:23.188 [main] WARN  [com.netflix.config.sources.URLConfigurationSource:121] [,] - No URLs will be polled as dynamic configuration sources.
>2020-09-14 21:54:23.188 [main] INFO  [com.netflix.config.sources.URLConfigurationSource:122] [,] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
>2020-09-14 21:54:23.194 [main] WARN  [com.netflix.config.sources.URLConfigurationSource:121] [,] - No URLs will be polled as dynamic configuration sources.
>2020-09-14 21:54:23.194 [main] INFO  [com.netflix.config.sources.URLConfigurationSource:122] [,] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
>2020-09-14 21:54:23.400 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor:181] [,] - Initializing ExecutorService 'applicationTaskExecutor'
>2020-09-14 21:54:25.215 [main] WARN  [o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger:106] [,] - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
>2020-09-14 21:54:25.317 [main] WARN  [o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger:81] [,] - Spring Cloud LoadBalancer is currently working with default default cache. You can switch to using Caffeine cache, by adding it to the classpath.
>2020-09-14 21:54:25.491 [main] INFO  [o.s.cloud.netflix.eureka.InstanceInfoFactory:72] [,] - Setting initial instance status as: STARTING
>2020-09-14 21:54:25.542 [main] INFO  [com.netflix.discovery.DiscoveryClient:365] [,] - Initializing Eureka in region us-east-1
>2020-09-14 21:54:25.913 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider:70] [,] - Using JSON encoding codec LegacyJacksonJson
>2020-09-14 21:54:25.913 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider:71] [,] - Using JSON decoding codec LegacyJacksonJson
>2020-09-14 21:54:26.026 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider:80] [,] - Using XML encoding codec XStreamXml
>2020-09-14 21:54:26.026 [main] INFO  [c.n.discovery.provider.DiscoveryJerseyProvider:81] [,] - Using XML decoding codec XStreamXml
>2020-09-14 21:54:26.226 [main] INFO  [c.n.d.shared.resolver.aws.ConfigClusterResolver:43] [,] - Resolving eureka endpoints via configuration
>2020-09-14 21:54:26.464 [main] INFO  [com.netflix.discovery.DiscoveryClient:976] [,] - Disable delta property : false
>2020-09-14 21:54:26.465 [main] INFO  [com.netflix.discovery.DiscoveryClient:977] [,] - Single vip registry refresh property : null
>2020-09-14 21:54:26.465 [main] INFO  [com.netflix.discovery.DiscoveryClient:978] [,] - Force full registry fetch : false
>2020-09-14 21:54:26.465 [main] INFO  [com.netflix.discovery.DiscoveryClient:979] [,] - Application is null : false
>2020-09-14 21:54:26.466 [main] INFO  [com.netflix.discovery.DiscoveryClient:980] [,] - Registered Applications size is zero : true
>2020-09-14 21:54:26.466 [main] INFO  [com.netflix.discovery.DiscoveryClient:982] [,] - Application version is -1: true
>2020-09-14 21:54:26.466 [main] INFO  [com.netflix.discovery.DiscoveryClient:1065] [,] - Getting all instance registry info from the eureka server
>2020-09-14 21:54:26.558 [main] INFO  [com.netflix.discovery.DiscoveryClient:1074] [,] - The response status is 200
>2020-09-14 21:54:26.560 [main] INFO  [com.netflix.discovery.DiscoveryClient:1288] [,] - Starting heartbeat executor: renew interval is: 30
>2020-09-14 21:54:26.562 [main] INFO  [com.netflix.discovery.InstanceInfoReplicator:60] [,] - InstanceInfoReplicator onDemand update allowed rate per min is 4
>2020-09-14 21:54:26.566 [main] INFO  [com.netflix.discovery.DiscoveryClient:465] [,] - Discovery Client initialized at timestamp 1600091666565 with initial instances count: 1
>2020-09-14 21:54:26.572 [main] INFO  [o.s.c.n.e.serviceregistry.EurekaServiceRegistry:41] [,] - Registering application EUREKA-CLIENT-HOMEPAGE-USER with eureka with status UP
>2020-09-14 21:54:26.572 [main] INFO  [com.netflix.discovery.DiscoveryClient:1323] [,] - Saw local status change event StatusChangeEvent [timestamp=1600091666572, current=UP, previous=STARTING]
>2020-09-14 21:54:26.574 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol:173] [,] - Starting ProtocolHandler ["http-nio-8002"]
>2020-09-14 21:54:26.574 [DiscoveryClient-InstanceInfoReplicator-0] INFO  [com.netflix.discovery.DiscoveryClient:844] [,] - DiscoveryClient_EUREKA-CLIENT-HOMEPAGE-USER/DESKTOP-P8HKM53:eureka-client-homepage-user:8002: registering service...
>2020-09-14 21:54:26.603 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer:220] [,] - Tomcat started on port(s): 8002 (http) with context path '/homepage-user'
>2020-09-14 21:54:26.604 [main] INFO  [o.s.c.n.e.s.EurekaAutoServiceRegistration:145] [,] - Updating port to 8002
>2020-09-14 21:54:26.612 [DiscoveryClient-InstanceInfoReplicator-0] INFO  [com.netflix.discovery.DiscoveryClient:853] [,] - DiscoveryClient_EUREKA-CLIENT-HOMEPAGE-USER/DESKTOP-P8HKM53:eureka-client-homepage-user:8002 - registration status: 204
>2020-09-14 21:54:27.051 [main] INFO  [com.swust.homepage.HomepageUserApplication:61] [,] - Started HomepageUserApplication in 9.455 seconds (JVM running for 10.917)
>2020-09-14 21:54:27.052 [main] INFO  [com.swust.homepage.config.ApplicationRunnerImpl:19] [,] - --->eureka-client-homepage-user启动成功！
>2020-09-14 21:55:11.995 [http-nio-8002-exec-1] INFO  [o.a.c.c.C.[Tomcat].[localhost].[/homepage-user]:173] [,] - Initializing Spring DispatcherServlet 'dispatcherServlet'
>2020-09-14 21:55:11.996 [http-nio-8002-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet:525] [,] - Initializing Servlet 'dispatcherServlet'
>2020-09-14 21:55:12.009 [http-nio-8002-exec-1] INFO  [org.springframework.web.servlet.DispatcherServlet:547] [,] - Completed initialization in 13 ms
>2020-09-14 21:55:12.029 [http-nio-8002-exec-1] INFO  [com.swust.homepage.filter.UserFilter:18] [89dbe201bf1b7c01,56d01c7bd2ba84c0] - UserFilter--->/homepage-user/getUserCourses
>2020-09-14 21:55:12.127 [http-nio-8002-exec-1] INFO  [com.alibaba.druid.pool.DruidDataSource:928] [89dbe201bf1b7c01,56d01c7bd2ba84c0] - {dataSource-1} inited
>2020-09-14 21:55:12.597 [http-nio-8002-exec-1] INFO  [com.netflix.config.ChainedDynamicProperty:115] [89dbe201bf1b7c01,56d01c7bd2ba84c0] - Flipping property: eureka-client-homepage-course.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
>2020-09-14 21:55:12.633 [http-nio-8002-exec-1] INFO  [com.netflix.util.concurrent.ShutdownEnabledTimer:58] [89dbe201bf1b7c01,56d01c7bd2ba84c0] - Shutdown hook installed for: NFLoadBalancer-PingTimer-eureka-client-homepage-course
>2020-09-14 21:55:12.634 [http-nio-8002-exec-1] INFO  [com.netflix.loadbalancer.BaseLoadBalancer:197] [89dbe201bf1b7c01,56d01c7bd2ba84c0] - Client: eureka-client-homepage-course instantiated a LoadBalancer: DynamicServerListLoadBalancer:{NFLoadBalancer:name=eureka-client-homepage-course,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null
>2020-09-14 21:55:12.641 [http-nio-8002-exec-1] INFO  [c.n.loadbalancer.DynamicServerListLoadBalancer:222] [89dbe201bf1b7c01,56d01c7bd2ba84c0] - Using serverListUpdater PollingServerListUpdater
